order_id,Priority,Cust_id,Segment,City,Category,Subcategory,Container,Profit,Quantity,Sales,Mode,order_Dte,Mnth,Year
9285,Critical ,949,Consumer,Dortmund,Office Supplies,Accessories,Small Box,-18,3,122,Regular Air,01/01/2013,1,2013
88028,Not Specified,2211,HomeOffice,Pretoria,Office Supplies,Storage,Large Box,-411,2,186,Express Air,01/01/2013,1,2013
88296,High,2579,HomeOffice,Charleston,Furniture,Tables,Jumbo Box,-265,1,204,Delivery Truck,02/01/2013,1,2013
89536,Critical,890,Consumer,Voronezh,Technology,Telephones,Small Box,440,6,766,Regular Air,04/01/2013,1,2013
86122,Not Specified,1085,HomeOffice,Istanbul,Office Supplies,Paper,Wrap Bag,-39,6,46,Regular Air,04/01/2013,1,2013
87071,Low,2146,Corporate,Cancun,Office Supplies,Storage,Large Box,29,2,41,Regular Air,05/01/2013,1,2013
85826,High,2868,Corporate,Aomori,Office Supplies,Accessories,Small Box,3480,6,5509,Regular Air,07/01/2013,1,2013
86527,Low,2555,HomeOffice,Salem,Office Supplies,Pens,Wrap Bag,-23,12,30,Regular Air,09/01/2013,1,2013
90166,Critical,896,Corporate,Ryazan,Furniture,Furnishings,Wrap Bag,33,6,52,Regular Air,09/01/2013,1,2013
89448,Low,1424,HomeOffice,Recife,Office Supplies,Envelopes,Small Box,43,7,65,Regular Air,11/01/2013,1,2013
91200,Not Specified,750,Corporate,St. Petersburg,Office Supplies,Storage,Small Box,-217,10,267,Regular Air,11/01/2013,1,2013
89704,Critical,1636,HomeOffice,Vijayawada,Technology,Office Machines,Jumbo Drum,-264,5,563,Delivery Truck,13/01/2013,1,2013
88745,Low,3385,Corporate,Charlotte,Office Supplies,Pens,Wrap Bag,-21,5,15,Express Air,15/01/2013,1,2013
88745,Low,3385,Corporate,Baltimore,Technology,Telephones,Small Box,412,6,790,Regular Air,15/01/2013,1,2013
90473,Medium,1702,HomeOffice,Victoria,Office Supplies,Paper,Wrap Bag,9,3,13,Express Air,16/01/2013,1,2013
91550,Medium,1971,Corporate,Merida,Office Supplies,Envelopes,Small Box,-28,3,36,Regular Air,17/01/2013,1,2013
86898,Critical,3155,Corporate,Sacramento,Office Supplies,Appliances,Small Box,-187,9,561,Regular Air,19/01/2013,1,2013
90000,Not Specified,1989,HomeOffice,Tijuana,Furniture,Chairs,Jumbo Drum,853,8,2885,Delivery Truck,21/01/2013,1,2013
90189,Not Specified,1692,Consumer,Vancouver,Office Supplies,Scissors,Small Pack,-29,5,36,Regular Air,22/01/2013,1,2013
90270,High,830,Corporate,St. Petersburg,Office Supplies,Appliances,Medium Box,-13,6,90,Regular Air,23/01/2013,1,2013
86899,High,3155,Corporate,Nantes,Furniture,Chairs,Jumbo Drum,56,4,106,Delivery Truck,25/01/2013,1,2013
86189,Medium,556,HomeOffice,Adelaide,Office Supplies,Storage,Large Box,-211,8,266,Express Air,27/01/2013,1,2013
91229,Low,2775,Consumer,Milwaukee,Technology,Office Machines,Large Box,2764,8,4513,Regular Air,29/01/2013,1,2013
40101,Low,1723,Corporate,Hong Kong,Technology,Peripherals,Small Box,13,46,2184,Express Air,30/01/2013,1,2013
86051,Low,2204,HomeOffice,Davangere,Furniture,Chairs,Jumbo Drum,-152,5,167,Delivery Truck,03/02/2013,2,2013
90731,Medium,1499,HomeOffice,Sao Paulo,Office Supplies,Accessories,Small Box,-14,8,17,Regular Air,03/02/2013,2,2013
86051,Low,2203,HomeOffice,Varanasi,Technology,Office Machines,Jumbo Drum,726,8,1130,Delivery Truck,03/02/2013,2,2013
44002,Medium,1723,Corporate,Hong Kong,Office Supplies,Storage,Small Box,-51,14,254,Regular Air,06/02/2013,2,2013
88023,Not Specified,472,Consumer,Perth,Technology,Peripherals,Small Box,-413,1,177,Express Air,07/02/2013,2,2013
87160,High,2778,Consumer,Burlington,Technology,Telephones,Small Box,107,12,2478,Express Air,10/02/2013,2,2013
89928,Critical,3344,HomeOffice,Augusta,Furniture,Furnishings,Large Box,1493,11,2188,Regular Air,12/02/2013,2,2013
86884,Critical,2490,HomeOffice,Stockholm,Furniture,Tables,Jumbo Box,-91,2,669,Delivery Truck,13/02/2013,2,2013
87244,Low,1749,HomeOffice,Hong Kong,Furniture,Furnishings,Medium Box,43,1,61,Regular Air,13/02/2013,2,2013
87002,High,1305,Consumer,Bangkok,Furniture,Furnishings,Medium Box,122,3,189,Regular Air,16/02/2013,2,2013
87003,High,1303,Consumer,Libreville,Technology,Peripherals,Small Pack,306,12,485,Regular Air,18/02/2013,2,2013
90237,Medium,233,SmallBusiness,Leeds,Office Supplies,Accessories,Small Box,-45,10,57,Regular Air,19/02/2013,2,2013
90871,Critical,2865,Corporate,Santiago,Office Supplies,Storage,Small Box,84,8,270,Regular Air,22/02/2013,2,2013
86486,Critical,2660,SmallBusiness,Santiago,Office Supplies,Storage,Large Box,-311,4,577,Regular Air,23/02/2013,2,2013
