Numrow,ID,LocX,LocY,RegDens,RegPop,MedHHInc,MeanHHSz
0,00601,-66.749472,18.180103,70.0,19143.0,9888.0,3.239999994635582
1,00602,-67.180247,18.363285,83.0,42042.0,11384.0,3.0999999940395355
2,00603,-67.134224,18.448619,86.0,55592.0,10748.0,2.839999996125698
3,00604,-67.136995,18.498987,83.0,3844.0,31199.0,3.0
4,00606,-66.958807,18.182151,65.0,6449.0,9243.0,3.1999999955296516
5,00610,-67.136046,18.288319,79.0,28005.0,12629.0,3.0099999979138374
6,00612,-66.698797,18.449732,81.0,72865.0,13000.0,2.839999996125698
7,00616,-66.676692,18.426748,78.0,10525.0,10476.0,2.969999998807907
8,00617,-66.555758,18.455499,81.0,23223.0,11511.0,2.969999998807907
9,00622,-67.167456,18.003125,69.0,8284.0,13634.0,2.639999993145466
10,00623,-67.152226,18.08643,80.0,38627.0,13565.0,2.75
11,00624,-66.726029,18.055399,77.0,26719.0,12194.0,3.469999998807907
12,00627,-66.856443,18.435246,79.0,35244.0,13168.0,3.0699999928474426
13,00631,-66.851745,18.186739,68.0,2169.0,8345.0,3.0499999970197678
14,00637,-66.948643,18.073078,78.0,25935.0,12485.0,2.9099999964237213
15,00638,-66.498354,18.308139,70.0,19648.0,10986.0,3.2599999979138374
16,00641,-66.705193,18.268896,71.0,35095.0,9901.0,3.139999993145466
17,00646,-66.276894,18.442798,84.0,34114.0,16378.0,3.1099999994039536
18,00647,-66.939932,17.964529,73.0,5352.0,9607.0,2.869999997317791
19,00650,-66.567732,18.363331,77.0,12207.0,11544.0,3.1099999994039536
20,00652,-66.612173,18.457453,75.0,2903.0,12097.0,2.839999996125698
21,00653,-66.900977,17.992112,78.0,16536.0,9770.0,3.0399999991059303
22,00656,-66.791684,18.038866,76.0,23072.0,11361.0,3.189999997615814
23,00659,-66.800394,18.432956,80.0,38925.0,12378.0,3.059999994933605
24,00660,-67.120857,18.139108,84.0,16614.0,16745.0,2.8199999928474426
25,00662,-67.019737,18.478855,80.0,42178.0,11753.0,2.939999997615814
26,00664,-66.592437,18.212565,73.0,17318.0,11220.0,3.3499999940395355
27,00667,-67.042267,18.017819,74.0,26637.0,11426.0,2.9099999964237213
28,00669,-66.875037,18.288418,77.0,32246.0,9758.0,3.119999997317791
29,00670,-66.976041,18.241343,68.0,11174.0,9556.0,3.0799999982118607
30,00674,-66.486974,18.426137,81.0,45874.0,12820.0,2.969999998807907
31,00676,-67.084245,18.37956,79.0,39697.0,11271.0,3.1099999994039536
32,00677,-67.236754,18.336121,81.0,14767.0,11460.0,2.8599999994039536
33,00678,-66.932756,18.442334,81.0,27271.0,12005.0,3.0699999928474426
34,00680,-67.12655,18.205232,84.0,75090.0,12042.0,2.769999995827675
35,00682,-67.154286,18.208402,90.0,25138.0,11121.0,2.839999996125698
36,00683,-67.045245,18.092807,78.0,35165.0,13036.0,2.8599999994039536
37,00685,-66.981041,18.332595,76.0,44649.0,11014.0,2.939999997615814
38,00687,-66.415286,18.31708,79.0,29965.0,12090.0,3.399999998509884
