cnt,date
217543,2011-03-31
285236,2011-06-30
466163,2011-09-30
254159,2011-12-31
358675,2012-03-31
476774,2012-06-30
708591,2012-09-30
445534,2012-12-31
503706,2013-03-31
693602,2013-06-30
1009371,2013-09-30
601644,2013-12-31
669587,2014-03-31
858011,2014-06-30
1260544,2014-09-30
786641,2014-12-31
808013,2015-03-31
1195874,2015-06-30
1517170,2015-09-30
944730,2015-12-31
953109,2016-03-31
1282791,2016-06-30
1788092,2016-09-30
1130918,2016-12-31
1106201,2017-03-31
1514973,2017-06-30
2067336,2017-09-30
1303435,2017-12-31
