name,time,device,kpi,value
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T13:53:36Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,216124
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T14:03:34Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,209951
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T14:13:36Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,203745
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T14:23:36Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,262750
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T14:33:30Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,252549
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T14:43:34Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,246475
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T14:53:36Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,243996
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T15:03:33Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,234949
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T15:13:35Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,241889
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T15:23:36Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,247387
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T15:32:56Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,222583
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T15:42:56Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,232838
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T15:52:57Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,247466
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T16:02:59Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,244769
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T16:12:56Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,239274
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T16:22:56Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,198876
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T16:32:57Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,216256
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T16:43:35Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,224514
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T16:53:35Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,228296
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T17:03:32Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,226009
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T17:13:33Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,211502
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T17:23:33Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,230584
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T17:33:35Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,232196
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T17:43:31Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,230009
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T17:53:36Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,222858
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T18:03:29Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,204119
hl413vdpn1-301.interfaces_ae1.input.bps,2020-05-11T18:13:35Z,hl413vdpn1-301,hl413vdpn1-301.interfaces_ae1.input.bps,222315
