Pos	Equipo	Ptos	PJ	PG	PE	PP	GF	GC	DG
1º	Real Madrid	4529	2838	1690	567	581	6104	3230	2874
2º	FC Barcelona	4442	2838	1635	578	625	6089	3179	2910
3º	Atlético de Madrid	3597	2690	1286	618	786	4647	3360	1287
4º	Valencia CF	3520	2740	1224	639	877	4514	3542	972
5º	Athletic Club	3464	2838	1232	660	946	4713	3794	919
6º	Sevilla FC	2936	2484	1024	546	914	3791	3478	313
7º	RCD Espanyol	2894	2702	974	632	1096	3693	3976	-283
8º	Real Sociedad	2672	2378	891	595	892	3339	3335	4
9º	R. Zaragoza	2109	1986	698	522	766	2683	2847	-164
10º	Real Betis	1995	1804	638	454	712	2266	2604	-338
11º	RC Celta	1879	1774	609	410	755	2390	2747	-357
12º	RC Deportivo	1843	1568	569	403	596	2090	2269	-179
13º	R. Valladolid CF	1512	1504	473	395	636	1797	2233	-436
14º	R. Racing C.	1416	1426	453	335	638	1842	2365	-523
15º	Real Sporting	1389	1458	471	358	629	1753	2152	-399
16º	C.A. Osasuna	1348	1316	425	326	565	1497	1833	-336
17º	Real Oviedo	1174	1192	408	292	492	1642	1951	-309
18º	RCD Mallorca	1148	988	333	256	399	1182	1371	-189
19º	Villarreal CF	1075	722	294	193	235	998	891	107
20º	UD Las Palmas	1042	1134	372	249	513	1371	1820	-449
21º	Málaga CF	791	646	209	164	273	779	898	-119
22º	Rayo Vallecano	694	680	197	156	327	801	1158	-357
23º	Getafe CF	667	532	177	136	219	610	701	-91
24º	Granada CF	667	742	218	175	349	819	1158	-339
25º	Elche C.F.	606	678	203	180	295	750	1022	-272
26º	CD Málaga	543	647	186	171	290	666	929	-263
27º	Hércules CF	538	628	184	149	295	716	1050	-334
28º	D. Alavés	518	456	153	94	209	537	728	-191
29º	CD Tenerife	510	494	155	128	211	619	744	-125
30º	Levante UD	506	478	135	119	224	533	756	-223
31º	Real Murcia	445	586	145	143	298	607	992	-385
32º	UD Salamanca	377	424	124	102	198	425	581	-156
33º	CE Sabadell	353	426	129	95	202	492	720	-228
34º	Cádiz CF	341	446	104	125	217	391	660	-269
35º	CD Logroñés	293	346	96	92	158	291	489	-198
36º	CD Castellón	285	334	103	79	152	419	588	-169
37º	Albacete BP	257	270	76	76	118	320	410	-90
38º	UD Almería	242	228	62	56	110	244	366	-122
39º	SD Eibar	230	190	60	50	80	229	267	-38
40º	Córdoba CF	230	282	82	63	137	285	430	-145
41º	SD Compostela	190	160	52	45	63	199	241	-42
42º	RC Recreativo	188	186	50	46	90	202	296	-94
43º	Burgos CF	168	204	59	50	95	216	310	-94
44º	Pontevedra CF	150	180	53	44	83	165	221	-56
45º	CD Numancia	148	152	37	37	78	155	253	-98
46º	CD Leganés	123	114	31	30	53	107	149	-42
47º	Arenas Club	107	130	43	21	66	227	308	-81
48º	Real Burgos CF	96	114	26	44	44	101	139	-38
49º	Nàstic	91	116	34	16	66	181	295	-114
50º	Girona FC	88	76	23	19	34	87	112	-25
51º	Extremadura UD	83	80	20	23	37	62	117	-55
52º	Mérida CP	81	80	19	24	37	70	115	-45
53º	CD Alcoyano	76	108	30	16	62	145	252	-107
54º	R. Jaén	71	90	29	13	48	121	183	-62
55º	Real Unión Club	56	72	21	14	37	153	184	-31
56º	AD Almería	50	67	16	18	33	71	116	-45
57º	CE Europa	42	54	18	6	30	97	131	-34
58º	Lleida Esportiu	40	68	13	14	41	70	182	-112
59º	Xerez CD	34	38	8	10	20	38	66	-28
60º	SD Huesca	33	38	7	12	19	43	65	-22
61º	CD Condal	22	30	7	8	15	37	57	-20
62º	Atlético Tetuán	19	30	7	5	18	51	85	-34
63º	Cultural Leonesa	14	30	5	4	21	34	65	-31
