ESTACION,MAGNITUD,ANO,MES,DIA,H08
4,7,2018,9,1,3.0
4,7,2018,9,2,3.0
4,7,2018,9,3,36.0
4,7,2018,9,4,51.0
4,7,2018,9,5,10.0
4,7,2018,9,6,5.0
4,7,2018,9,7,4.0
4,7,2018,9,8,3.0
4,7,2018,9,9,29.0
4,7,2018,9,10,85.0
4,7,2018,9,11,63.0
4,7,2018,9,12,6.0
4,7,2018,9,13,66.0
4,7,2018,9,14,9.0
4,7,2018,9,15,4.0
4,7,2018,9,16,18.0
4,7,2018,9,17,9.0
4,7,2018,9,18,40.0
4,7,2018,9,19,58.0
4,7,2018,9,20,107.0
4,7,2018,9,21,81.0
4,7,2018,9,22,16.0
4,7,2018,9,23,29.0
4,7,2018,9,24,7.0
4,7,2018,9,25,10.0
4,7,2018,9,26,6.0
4,7,2018,9,27,20.0
4,7,2018,9,28,83.0
4,7,2018,9,29,53.0
4,7,2018,9,30,39.0
8,7,2018,9,1,1.0
8,7,2018,9,2,2.0
8,7,2018,9,3,23.0
8,7,2018,9,4,30.0
8,7,2018,9,5,33.0
8,7,2018,9,6,14.0
8,7,2018,9,7,4.0
8,7,2018,9,8,1.0
8,7,2018,9,9,3.0
8,7,2018,9,10,13.0
8,7,2018,9,11,18.0
8,7,2018,9,12,6.0
8,7,2018,9,13,23.0
8,7,2018,9,14,10.0
8,7,2018,9,15,4.0
8,7,2018,9,16,2.0
8,7,2018,9,17,10.0
8,7,2018,9,18,32.0
8,7,2018,9,19,21.0
8,7,2018,9,20,22.0
8,7,2018,9,21,25.0
8,7,2018,9,22,2.0
8,7,2018,9,23,1.0
8,7,2018,9,24,9.0
8,7,2018,9,25,11.0
8,7,2018,9,26,11.0
8,7,2018,9,27,34.0
8,7,2018,9,28,54.0
8,7,2018,9,29,2.0
8,7,2018,9,30,1.0
11,7,2018,9,1,1.0
11,7,2018,9,2,1.0
11,7,2018,9,3,7.0
11,7,2018,9,4,5.0
11,7,2018,9,5,5.0
11,7,2018,9,6,16.0
11,7,2018,9,7,1.0
11,7,2018,9,8,1.0
11,7,2018,9,9,2.0
11,7,2018,9,10,4.0
11,7,2018,9,11,5.0
11,7,2018,9,12,2.0
11,7,2018,9,13,3.0
11,7,2018,9,14,2.0
11,7,2018,9,15,1.0
11,7,2018,9,16,1.0
11,7,2018,9,17,2.0
11,7,2018,9,18,7.0
11,7,2018,9,19,3.0
11,7,2018,9,20,4.0
11,7,2018,9,21,13.0
11,7,2018,9,22,1.0
11,7,2018,9,23,1.0
11,7,2018,9,24,1.0
11,7,2018,9,25,1.0
11,7,2018,9,26,5.0
11,7,2018,9,27,16.0
11,7,2018,9,28,22.0
11,7,2018,9,29,1.0
11,7,2018,9,30,1.0
16,7,2018,9,1,1.0
16,7,2018,9,2,1.0
16,7,2018,9,3,5.0
16,7,2018,9,4,18.0
16,7,2018,9,5,16.0
16,7,2018,9,6,18.0
16,7,2018,9,7,2.0
16,7,2018,9,8,1.0
16,7,2018,9,9,3.0
16,7,2018,9,10,13.0
16,7,2018,9,11,6.0
16,7,2018,9,12,2.0
16,7,2018,9,13,3.0
16,7,2018,9,14,10.0
16,7,2018,9,15,3.0
16,7,2018,9,16,1.0
16,7,2018,9,17,4.0
16,7,2018,9,18,8.0
16,7,2018,9,19,7.0
