ESTACION,MAGNITUD,ANO,MES,DIA,H08
4,7,2018,10,1,7.0
4,7,2018,10,2,54.0
4,7,2018,10,3,100.0
4,7,2018,10,4,124.0
4,7,2018,10,5,172.0
4,7,2018,10,6,45.0
4,7,2018,10,7,3.0
4,7,2018,10,8,44.0
4,7,2018,10,9,9.0
4,7,2018,10,10,21.0
4,7,2018,10,11,34.0
4,7,2018,10,12,6.0
4,7,2018,10,13,59.0
4,7,2018,10,14,3.0
4,7,2018,10,15,23.0
4,7,2018,10,16,59.0
4,7,2018,10,17,165.0
4,7,2018,10,18,17.0
4,7,2018,10,19,7.0
4,7,2018,10,20,5.0
4,7,2018,10,21,3.0
4,7,2018,10,22,67.0
4,7,2018,10,23,14.0
4,7,2018,10,24,133.0
4,7,2018,10,25,125.0
4,7,2018,10,26,117.0
4,7,2018,10,27,9.0
4,7,2018,10,28,36.0
4,7,2018,10,29,13.0
4,7,2018,10,30,31.0
4,7,2018,10,31,9.0
8,7,2018,10,1,7.0
8,7,2018,10,2,11.0
8,7,2018,10,3,15.0
8,7,2018,10,4,33.0
8,7,2018,10,5,28.0
8,7,2018,10,6,20.0
8,7,2018,10,7,1.0
8,7,2018,10,8,44.0
8,7,2018,10,9,17.0
8,7,2018,10,10,30.0
8,7,2018,10,11,28.0
8,7,2018,10,12,5.0
8,7,2018,10,13,13.0
8,7,2018,10,14,2.0
8,7,2018,10,15,29.0
8,7,2018,10,16,35.0
8,7,2018,10,17,41.0
8,7,2018,10,18,25.0
8,7,2018,10,19,11.0
8,7,2018,10,20,4.0
8,7,2018,10,21,3.0
8,7,2018,10,22,140.0
8,7,2018,10,23,20.0
8,7,2018,10,24,34.0
8,7,2018,10,25,81.0
8,7,2018,10,26,56.0
8,7,2018,10,27,4.0
8,7,2018,10,28,1.0
8,7,2018,10,29,22.0
8,7,2018,10,30,16.0
8,7,2018,10,31,39.0
11,7,2018,10,1,1.0
11,7,2018,10,2,2.0
11,7,2018,10,3,1.0
11,7,2018,10,4,3.0
11,7,2018,10,5,5.0
11,7,2018,10,6,12.0
11,7,2018,10,7,1.0
11,7,2018,10,8,6.0
11,7,2018,10,9,3.0
11,7,2018,10,10,4.0
11,7,2018,10,11,30.0
11,7,2018,10,12,4.0
11,7,2018,10,13,6.0
11,7,2018,10,14,1.0
11,7,2018,10,15,10.0
11,7,2018,10,16,10.0
11,7,2018,10,17,14.0
11,7,2018,10,18,4.0
11,7,2018,10,19,3.0
11,7,2018,10,20,1.0
11,7,2018,10,21,1.0
11,7,2018,10,22,93.0
11,7,2018,10,23,2.0
11,7,2018,10,24,6.0
11,7,2018,10,25,11.0
11,7,2018,10,26,30.0
11,7,2018,10,27,4.0
11,7,2018,10,28,1.0
11,7,2018,10,29,20.0
11,7,2018,10,30,36.0
11,7,2018,10,31,11.0
16,7,2018,10,1,4.0
16,7,2018,10,2,4.0
16,7,2018,10,3,4.0
16,7,2018,10,4,6.0
16,7,2018,10,5,20.0
16,7,2018,10,6,10.0
16,7,2018,10,7,3.0
16,7,2018,10,8,35.0
16,7,2018,10,9,9.0
16,7,2018,10,10,8.0
16,7,2018,10,11,20.0
16,7,2018,10,12,2.0
16,7,2018,10,13,9.0
16,7,2018,10,14,1.0
16,7,2018,10,15,13.0
16,7,2018,10,16,42.0
16,7,2018,10,17,33.0
16,7,2018,10,18,7.0
16,7,2018,10,19,4.0
16,7,2018,10,20,4.0
16,7,2018,10,21,1.0
16,7,2018,10,22,70.0
16,7,2018,10,23,5.0
16,7,2018,10,24,13.0
16,7,2018,10,25,42.0
16,7,2018,10,26,14.0
16,7,2018,10,27,2.0
